Column1,FY,Year,WorkCenter,AdminNum,Equipment,Serial,WorkOrder,Type,Priority,ProjectCode,Description,Created.on,Comp.Date,Cost,credit,Date,vehicle,CBMS,jbpds,rws,majComponent,days,months
284,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1004993878,PM01,1,,CBMS Block II,11/9/18,12/4/18,331575,170000,18-Nov,121,TRUE,FALSE,FALSE,1,758,25.26666667
231,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1004631686,PM01,1,,CBMSII INOP,9/17/18,1/3/19,161463,,18-Sep,122,TRUE,FALSE,FALSE,1,534,17.8
232,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1004631682,PM01,1,,CBMSII INOP,9/17/18,10/18/18,331575,170000,18-Sep,111,TRUE,FALSE,FALSE,1,235,7.833333333
152,FY18,18,WH8DAA,71-112,1011279704,NBC-0110-11,1003232339,PM01,1,,CBMS TURBO PUMP ERROR CODE 1003,2/8/18,6/12/18,158199,,18-Feb,112,TRUE,FALSE,FALSE,1,313,10.43333333
523,FY19,19,NA,NA,NA,NA,NA,NA,NA,NA,CBMS Block,NA,NA,331575,,19-Oct,NA,TRUE,FALSE,FALSE,1,913,30.43333333
,FY20,20,,,,,,PM01,,,CBMS BLOCK,,,367000,170000,20-Apr,121,TRUE,FALSE,FALSE,1,536,17.86666667
,FY20,20,,,,,,PM01,,,CBMS BLOCK,,,367000,170000,20-Apr,122,TRUE,FALSE,FALSE,1,597,19.9
297,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1005218552,PM01,1,,RWS INHIBIT FIRE ZONE NOT DISPLAYED,12/21/18,1/30/19,0,,18-Dec,122,FALSE,FALSE,TRUE,1,30,1
328,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1005266165,PM01,1,,RWS Firing inhibit faulty,1/9/19,1/25/19,0,,19-Jan,111,FALSE,FALSE,TRUE,1,214,7.133333333
289,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1005063497,PM01,1,,RWS System INOP,11/21/18,12/21/18,67356,12101,18-Nov,122,FALSE,FALSE,TRUE,1,468,15.6
329,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1005265757,PM01,1,,RWS Firing inhibit faulty,1/9/19,1/25/19,0,,19-Jan,112,FALSE,FALSE,TRUE,1,640,21.33333333
296,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1005218553,PM01,1,,RWS INHIBIT FIRE ZONE NOT DISPLAYED,12/21/18,12/21/18,0,,18-Dec,121,FALSE,FALSE,TRUE,1,775,25.83333333
195,FY18,18,WH8DAA,71-111,1011279664,NBC-0108-11,1004058502,PM01,1,,RWS/FCU DOES NOT OPERATE,6/14/18,7/18/18,1334,0,18-Jun,111,FALSE,FALSE,TRUE,1,439,14.63333333
56,FY17,17,WH8DAA,71-122,1011279723,NBC-0111-11,1002156999,PM01,2,,LOCKING PIN MISSING ON RWS,8/10/17,9/13/17,0,,17-Aug,122,FALSE,FALSE,TRUE,1,131,4.366666667
167,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,1003262367,PM01,1,,JBPDS IDENTIFIER INOP,2/13/18,4/20/18,43279,,18-Feb,121,FALSE,TRUE,FALSE,1,489,16.3
320,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1005230603,PM01,1,,FTS INOP,12/28/18,1/16/19,29866,,18-Dec,122,FALSE,TRUE,FALSE,1,730,24.33333333
318,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1005228104,PM01,1,,JBPDS COLLECTOR INOP,12/27/18,1/24/19,23298,,18-Dec,112,FALSE,TRUE,FALSE,1,317,10.56666667
216,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1004357069,PM01,1,,JBPDS CONTROL ASSEMBLY,8/7/18,10/16/18,22318,,18-Aug,111,FALSE,TRUE,FALSE,1,328,10.93333333
227,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1004602626,PM01,1,,JBPDS Controller inop,9/12/18,10/16/18,22097,,18-Sep,122,FALSE,TRUE,FALSE,1,85,2.833333333
273,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1004914912,PM01,1,,FTS INOP,10/30/18,12/28/18,19461,,18-Oct,111,FALSE,TRUE,FALSE,1,84,2.8
166,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,1003262370,PM01,1,,JBPDS JCA INOP,2/13/18,4/20/18,14896,,18-Feb,121,FALSE,TRUE,FALSE,1,489,16.3
272,FY19,19,WH8DAA,71-121,1011279686,NBC-0109-11,1004907664,PM01,1,,JBPDS INOP,10/30/18,11/29/18,10080,,18-Oct,121,FALSE,TRUE,FALSE,1,242,8.066666667
394,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1005580209,PM01,2,,FTS INOP,2/23/19,6/21/19,4089,,19-Feb,112,FALSE,TRUE,FALSE,1,792,26.4
170,FY18,18,WH8DAA,71-122,1011279723,NBC-0111-11,1003276078,PM01,1,,JBPDS COMPRESSOR INOP,2/15/18,4/20/18,2942,,18-Feb,122,FALSE,TRUE,FALSE,1,155,5.166666667
,,,,,,,,,,,TIME SINCE LAST FAILURE,,,,,,111,,TRUE,,,488,16.26666667
,,,,,,,,,,,TimE SINCE LAST FAILURE,,,,,,112,,TRUE,,,365,12.16666666
,,,,,,,,,,,Time SINCE LAST FAILURE,,,,,,121,,TRUE,,,730,24.33333333
,,,,,,,,,,,time since last failure,,,,,,122,,TRUE,,,730,24.333333