Date,vehicle,mileage
Jul-20,111,25
Jun-20,111,2
May-20,111,3814
Apr-20,111,0
Mar-20,111,0
Feb-20,111,0
Jan-20,111,24
Dec-19,111,0
Nov-19,111,6
Oct-19,111,189
Sep-19,111,0
Aug-19,111,12
Jul-19,111,6
Jun-19,111,1
May-19,111,132
Apr-19,111,3
Mar-19,111,1
Feb-19,111,0
Jan-19,111,0
Dec-18,111,56
Nov-18,111,5
Oct-18,111,77
Sep-18,111,0
Aug-18,111,0
Jul-18,111,0
Jun-18,111,0
May-18,111,0
Apr-18,111,0
Mar-18,111,0
Feb-18,111,0
Jan-18,111,0
Dec-17,111,0
Nov-17,111,0
Oct-17,111,0
Sep-17,111,0
Aug-17,111,0
Jul-17,111,0
Jun-17,111,0
May-17,111,0
Apr-17,111,0
Mar-17,111,0
Feb-17,111,0
Jan-17,111,0
Dec-16,111,0
Nov-16,111,286
Oct-16,111,68
Sep-16,111,50
Aug-16,111,165
Jul-16,111,0
Jun-16,111,0
May-16,111,4
Apr-16,111,0
Mar-16,111,0
Feb-16,111,0
Jan-16,111,0
Jul-20,122,50
Jun-20,122,0
May-20,122,78
Apr-20,122,0
Mar-20,122,0
Feb-20,122,0
Jan-20,122,2
Dec-19,122,0
Nov-19,122,6
Oct-19,122,114
Sep-19,122,0
Aug-19,122,525
Jul-19,122,7
Jun-19,122,2
May-19,122,3
Apr-19,122,7
Mar-19,122,4
Feb-19,122,0
Jan-19,122,0
Dec-18,122,0
Nov-18,122,0
Oct-18,122,0
Sep-18,122,0
Aug-18,122,0
Jul-18,122,0
Jun-18,122,0
May-18,122,1
Apr-18,122,1
Mar-18,122,0
Feb-18,122,0
Jan-18,122,2
Dec-17,122,0
Nov-17,122,0
Oct-17,122,0
Sep-17,122,0
Aug-17,122,86
Jul-17,122,37
Jun-17,122,10
May-17,122,17
Apr-17,122,0
Mar-17,122,1
Feb-17,122,0
Jan-17,122,1
Dec-16,122,1
Nov-16,122,282
Oct-16,122,71
Sep-16,122,222
Aug-16,122,0
Jul-16,122,0
Jun-16,122,0
May-16,122,0
Apr-16,122,0
Mar-16,122,0
Feb-16,122,0
Jan-16,122,0
Jul-20,112,1
Jun-20,112,1
May-20,112,6
Apr-20,112,1
Mar-20,112,0
Feb-20,112,0
Jan-20,112,20
Dec-19,112,0
Nov-19,112,7
Oct-19,112,52
Sep-19,112,54
Aug-19,112,1
Jul-19,112,15
Jun-19,112,1
May-19,112,2
Apr-19,112,248
Mar-19,112,53
Feb-19,112,0
Jan-19,112,0
Dec-18,112,89
Nov-18,112,0
Oct-18,112,409
Sep-18,112,0
Aug-18,112,0
Jul-18,112,2
Jun-18,112,2
May-18,112,203
Apr-18,112,1
Mar-18,112,0
Feb-18,112,0
Jan-18,112,267
Dec-17,112,0
Nov-17,112,0
Oct-17,112,0
Sep-17,112,0
Aug-17,112,0
Jul-17,112,0
Jun-17,112,0
May-17,112,15
Apr-17,112,0
Mar-17,112,0
Feb-17,112,27
Jan-17,112,1
Dec-16,112,0
Nov-16,112,289
Oct-16,112,66
Sep-16,112,63
Aug-16,112,372
Jul-16,112,0
Jun-16,112,0
May-16,112,0
Apr-16,112,0
Mar-16,112,0
Feb-16,112,0
Jan-16,112,1829
Jul-20,121,0
Jun-20,121,0
May-20,121,0
Apr-20,121,0
Mar-20,121,0
Feb-20,121,0
Jan-20,121,0
Dec-19,121,0
Nov-19,121,0
Oct-19,121,1
Sep-19,121,1
Aug-19,121,0
Jul-19,121,0
Jun-19,121,0
May-19,121,0
Apr-19,121,2
Mar-19,121,7
Feb-19,121,0
Jan-19,121,0
Dec-18,121,1
Nov-18,121,0
Oct-18,121,537
Sep-18,121,0
Aug-18,121,0
Jul-18,121,1
Jun-18,121,0
May-18,121,1
Apr-18,121,0
Mar-18,121,0
Feb-18,121,0
Jan-18,121,2
Dec-17,121,12
Nov-17,121,231
Oct-17,121,2
Sep-17,121,1
Aug-17,121,10
Jul-17,121,0
Jun-17,121,1
May-17,121,0
Apr-17,121,0
Mar-17,121,0
Feb-17,121,121
Jan-17,121,1
Dec-16,121,1
Nov-16,121,279
Oct-16,121,46
Sep-16,121,0
Aug-16,121,230
Jul-16,121,0
Jun-16,121,0
May-16,121,0
Apr-16,121,0
Mar-16,121,0
Feb-16,121,0
Jan-16,121,0